Internal name	Serial	ROM size (MBit)	 Complement	CRC32	Memory type	RAM size (KBit) 
AMDRIVERHERO	AGB-BGIJ-JPN	128	38	9CF6887C	FLASH512_V131	512
JUSTIRISER	AGB-BGJJ-JPN	128	6B	580A00A5	FLASH512_V131	512
KITARO	AGB-BGKJ-JPN	128	F4	7F2B2657	SRAM_V112	256
SAIYUUKI	AGB-BGMJ-JPN	64	2D	1DFBD741	EEPROM_V122	64
GUNDAMSEED-B	AGB-BGNE-USA	32	75	180D1491		
GUNDAMSEED	AGB-BGNJ-JPN	64	DF	73BF384B	EEPROM_V124	64
GARFIELDTSFP	AGB-BGOE-USA	64	19	76035741		
GARFIELDTSFP	AGB-BGOP-EUR	128	1D	CE9291F1		
AMDRIVERBTLP	AGB-BGPJ-JPN	128	2D	66D6E299	SRAM_V113	256
GHTP MAXD	AGB-BGQE-USA	128	4E	649F7BB2	EEPROM_V124	64
GAKUENMURYOU	AGB-BGSJ-JPN	64	F1	82983321	EEPROM_V124	4
GTA	AGB-BGTE-USA	128	C9	3285DDE5	EEPROM_V124	4
GTA ADVANCE	AGB-BGTP-EUR	128	AC	4189E07F	EEPROM_V124	4
GUMBY	AGB-BGVE-USA	32	22	2B7E3CCB	EEPROM_V124	4
GBWARS1+2	AGB-BGWJ-JPN	128	72	49EE1FDD	FLASH1M_V102	1024
GUNSTAR SH	AGB-BGXJ-JPN	64	BF	6D4307F7	EEPROM_V124	64
GASH-ZAKERU2	AGB-BGYJ-JPN	128	54	B7827F20	EEPROM_V124	4
MADAGASCAR	AGB-BGZE-USA	64	FE	7503F71B	EEPROM_V124	4
MADAGASCAR	AGB-BGZH-HOL	64	FB	EBFAB740	EEPROM_V124	4
MADAGASCAR	AGB-BGZI-ITA	64	FA	9467225B	EEPROM_V124	4
MADAGASCAR	AGB-BGZJ-JPN	64	EC	2D6D478C	EEPROM_V124	4
MADAGASCAR	AGB-BGZP-EUR	64	F3	394F2126	EEPROM_V124	4
MADAGASCAR	AGB-BGZS-SPA	64	F0	0C6070B5	EEPROM_V124	4
MADAGASCAR	AGB-BGZX-EUU	64	EB	274C9135	EEPROM_V124	4
HAGANESONATA	AGB-BH2J-JPN	64	6D	C6144316	EEPROM_V124	4
HAPPY FEET	AGB-BH3E-USA	256	10	682617CF	EEPROM_V126	4
HAPPY FEET E	AGB-BH3P-EUR	256	A0	7A53173C	EEPROM_V126	4
F4 FLAME ON	AGB-BH4E-USA	64	2B	DDDE4295	EEPROM_V124	4
F4 FLAME ON	AGB-BH4P-EUR	64	20	671957AF	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5D-NOE	64	6D	31E57A19	EEPROM_V124	4
OVER THE HED	AGB-BH5E-USA	64	B8	5F3A7BB7	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5F-FRA	64	6B	EB7C8402	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5H-HOL	64	69	CF0F07C7	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5I-ITA	64	68	52A5B59D	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5P-EUR	64	61	C7023309	EEPROM_V124	4
OVERTHEHEDGE	AGB-BH5S-ESP	64	5E	96AF60F3	EEPROM_V124	4
HARONOPUYOPU	AGB-BH6J-JPN	64	1A	A7825224	EEPROM_V124	4
HAMMYGOSNUTS	AGB-BH7E-USA	64	35	B9D4E9E7	EEPROM_V124	4
HAMMYGOSNUTS	AGB-BH7P-EUR	64	2A	8F1B100D	EEPROM_V124	4
POTTER G.O.F	AGB-BH8E-USA	256	A5	35785B15	EEPROM_V126	4
TH SK8LAND	AGB-BH9E-USA	64	31	7B089F4A	EEPROM_V124	64
TH SK8LAND	AGB-BH9P-EUR	64	26	A824DF3F	EEPROM_V124	64
TH SK8LAND	AGB-BH9X-EUU	64	1E	9633084A	EEPROM_V124	64
HYAKEI	AGB-BHAJ-JPN	32	07	173A6C4A	FLASH512_V131	512
BESTFRIENDS	AGB-BHBE-USA	64	98	6ECF40A0	EEPROM_V124	64
BESTFRIENDS	AGB-BHBP-EUR	64	64	F71761BA	EEPROM_V124	64
HAMSTAR COLL	AGB-BHCJ-JPN	64	5D	35584EA6	EEPROM_V122	64
HELLO	AGB-BHDJ-JPN	64	43	304BDFC3	EEPROM_V124	64
HOTWHEELSSTC	AGB-BHEE-USA	64	31	D0AB6A37		
TWIN SERIES4	AGB-BHFJ-JPN	128	53	FA643377	EEPROM_V124	64
GUNSTAR SH	AGB-BHGE-USA	64	D4	7CD86B02	EEPROM_V124	64
GUNSTAR FH	AGB-BHGP-EUR	64	D6	8C541D13	EEPROM_V124	64
HI HI PUFFYA	AGB-BHHE-USA	64	8D	E613AA43	EEPROM_V124	4
HI HI PUFFYA	AGB-BHHJ-JPN	64	88	90239C3D	EEPROM_V124	4
HI HI PUFFY	AGB-BHHP-EUR	64	C3	E5531D04	EEPROM_V124	4
HEIDI	AGB-BHJP-EUR	32	36	600A8699	EEPROM_V124	4
