Internal name	Serial	ROM size (MBit)	 Complement	CRC32	Memory type	RAM size (KBit) 
LOONEY TUNES	AGB-BLTE-USA	64	36	2B8B3964	EEPROM_V122	4
LEGENDZSON__	AGB-BLVJ-JPN	128	F8	98432A11	FLASH512_V131	512
LEGOSTARWARS	AGB-BLWE-USA	128	0F	AEABFA5F	EEPROM_V124	4
LEGOSTARWARS	AGB-BLWJ-JPN	128	0A	55A5AAF2	EEPROM_V124	4
ASTERIX	AGB-BLXP-EUR	64	94	A9B1ECE5	EEPROM_V124	4
LEMONY_ASOUE	AGB-BLYD-NOE	128	0F	F7AC3D9E	EEPROM_V124	4
LEMONY_ASOUE	AGB-BLYE-USA	128	0E	72BA6B8C	EEPROM_V124	4
LEMONY_ASOUE	AGB-BLYI-ITA	128	0A	AA6E22D7	EEPROM_V124	4
LEMONY_ASOUE	AGB-BLYX-EUU	128	FB	0D39D52F	EEPROM_V124	4
MOMOTETSU-G	AGB-BM2J-JPN	128	9C	5F3E184E	EEPROM_V124	4
M&D MAGICAL3	AGB-BM3J-JAP	32	E5	32D851F7	EEPROM_V124	4
POCKETRESORT	AGB-BM4J-JPN	128	1A	5A267DE6	EEPROM_V124	4
MARIOVSDK	AGB-BM5E-USA	128	37	25C394D1	FLASH512_V131	512
MARIOVSDK	AGB-BM5J-JPN	128	32	7C2B5269	FLASH512_V131	512
MARIOVSDK	AGB-BM5P-EUR	128	2C	A4DAF243	FLASH512_V131	512
PENGUINS	AGB-BM7E-USA	64	76	DA3FA501	EEPROM_V124	4
PENGUINS	AGB-BM7P-EUR	64	6B	15BB7278	EEPROM_V124	4
PENGUINS	AGB-BM7S-ESP	64	68	5B519E47	EEPROM_V124	4
PENGUINS	AGB-BM7X-EUU	64	63	6B5B70C5	EEPROM_V124	4
PENGUINS	AGB-BM7Y-EUU	64	62	8D8B5808	EEPROM_V124	4
PICHIPICHI2	AGB-BM8J-JPN	128	BF	F786FFA7	SRAM_V113	256
MARHEAVEN1	AGB-BM9J-JPN	128	02	EF6807CA	SRAM_F_V103	256
PICHIPICHI00	AGB-BMAJ-JAP	128	88	63F72589	SRAM_V112	256
MBEANZPP	AGB-BMBE-USA	128	62	8C69AD97	EEPROM_V124	4
MONSTERTRUCK	AGB-BMCE-USA	32	0D	4A72170A		
MADDEN NFL04	AGB-BMDE-USA	32	BD	067554B4	EEPROM_V122	64
MAX PAYNE	AGB-BMEE-USA	128	CB	296E1092	EEPROM_V124	4
MAX ADVANCE	AGB-BMEP-EUR	128	AB	7D902B62	EEPROM_V124	4
MADDEN 2005	AGB-BMFE-USA	32	38	0B79A67B	EEPROM_V124	64
MARIOGOLFGBA	AGB-BMGD-NOE	128	6C	3E19E279	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGE-USA	128	6B	D56C2E54	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGF-NOE	128	6A	BD5BE463	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGI-ITA	128	67	05B0454A	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGJ-JPN	128	66	A8342A16	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGP-EUR	128	60	B483127C	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGS-SPA	128	5D	C35DD9F8	SRAM_V113	256
MARIOGOLFGBA	AGB-BMGU-AUS	128	5B	D6AD422F	SRAM_V113	256
INFILTRATOR	AGB-BMHE-USA	128	78	F23150A4	EEPROM_V120	4
INFILTRATOR	AGB-BMHJ-JPN	128	7E	A054A4D0	EEPROM_V124	4
MIRUMODEPON6	AGB-BMIJ-JPN	256	35	5EFFDC65	SRAM_V113	256
MIN_MAHJONGG	AGB-BMJJ-JAP	32	12	66B779B0	EEPROM_V124	4
MEZA_KOUSIEN	AGB-BMKJ-JPN	64	E4	50E473A8	FLASH512_V131	512
MUCHA_LUCHA_	AGB-BMLE-USA	32	33	9DE9AA86	EEPROM_V122	4
SCOOBYMAYHEM	AGB-BMME-USA	32	31	3D389A12	EEPROM_V122	4
SCOOBYMAYHEM	AGB-BMMP-EUR	32	26	5348A655	EEPROM_V122	4
KCEJ MINPRI	AGB-BMOJ-JPN	256	A8	19DC05E6	SRAM_F_V103	256
MIRUMODEPON2	AGB-BMPJ-JAP	64	32	F5DA0DCC	SRAM_F_V103	256
M&D MAGICAL3	AGB-BMQE-USA	64	CC	5A23094D	EEPROM_V124	4
M&D MAGICAL3	AGB-BMQP-EUR	64	C1	AAD912F9	EEPROM_V124	4
MATANTEILOKI	AGB-BMRJ-JAP	32	1B	31843E8D	EEPROM_V124	64
MTM	AGB-BMTE-USA	32	CC	DD872538	EEPROM_V120	4
SCOOBY-DOO_2	AGB-BMUE-USA	64	4A	9FF01DDD		
SCOOBY DOO 2	AGB-BMUX-EUU	64	83	7BDAB2CF		
MARIO BALL	AGB-BMVE-USA	64	13	70A6D2C1	EEPROM_V124	4
MARIO BALL	AGB-BMVJ-JPN	128	0E	B1F3E6B5	EEPROM_V124	4
MARIO BALL	AGB-BMVP-EUR	64	08	3B035681	EEPROM_V124	4
TWIN SERIES5	AGB-BMWJ-JPN	128	3C	2C582FF3	EEPROM_V124	64
ZEROMISSIONC	AGB-BMXC-CHN	64	21	E951865C	SRAM_V113	256
ZEROMISSIONE	AGB-BMXE-USA	64	1D	5C61A844	SRAM_V113	256
ZEROMISSIONJ	AGB-BMXJ-JPN	64	13	44B79E2B	SRAM_V113	256
ZEROMISSIONP	AGB-BMXP-EUR	64	07	F1D92E63	SRAM_V113	256
MIRUMODEPON3	AGB-BMYJ-JPN	64	28	5E5C008C	SRAM_F_V103	256
ZOOO	AGB-BMZJ-JAP	32	51	374D48D2	EEPROM_V122	64
ZOOO	AGB-BMZP-EUR	64	45	897B2893	EEPROM_V124	64
NARUTO US2	AGB-BN2E-USA	64	F2	94699FCA	SRAM_V113	256
NARUTO ACT2	AGB-BN2J-JPN	64	BD	B3D75CE1	SRAM_V113	256
KAWANUSHI 34	AGB-BN4J-JPN	32	9F	4F09CA00	SRAM_V113	256
NFS CARBON	AGB-BN7E-USA	64	1A	F4C0D140	EEPROM_V124	4
LITLEMERMAID	AGB-BN9E-USA	64	45	02E35663	EEPROM_V124	4
PETZVET	AGB-BNBE-USA	64	A3	1DBF4D3D	EEPROM_V124	64
HIMAWARI	AGB-BNBJ-JPN	64	61	8EA9AFCC	EEPROM_V124	64
NIGHTMARE	AGB-BNCE-USA	64	15	3C247C14	EEPROM_V124	4
NIGHTMARE	AGB-BNCJ-JPN	64	15	9F16857D	EEPROM_V124	4
KIDSNEXTDOOR	AGB-BNDE-USA	64	31	420A81B7		
NEMO2INCPACK	AGB-BNEE-USA	128	6E	D5A37AA8		
NFSUG2	AGB-BNFE-USA	64	12	9A0C5090	EEPROM_V124	4
NEGIMAGI	AGB-BNGJ-JPN	128	7D	71547BE2	SRAM_F_V103	256
SHINJAJA	AGB-BNJJ-JPN	32	6D	7BAA6891	EEPROM_V124	4
NODDYTOYLAND	AGB-BNKE-USA	32	F8	F906C5B6		
NODDYTOYLAND	AGB-BNKP-EUR	32	FC	607DDC6B		
RATATOUILLE	AGB-BNLE-USA	64	7B	AA2EB686		
RATATOUILLE	AGB-BNLP-EUR	64	70	82F9C596		
RATATOUILLE	AGB-BNLX-EUU	64	68	5C48C362		
RATATOUILLE	AGB-BNLY-EUU	64	67	7A80B515		
NEGIMAGI2	AGB-BNMJ-JPN	128	45	6357C53B	SRAM_F_V103	256
PNATASHASSAP	AGB-BNPE-USA	32	43	B07CB7BA		
PRINCESS NAT	AGB-BNPP-EUR	32	36	E6567686		
NARUTORPG	AGB-BNRJ-JPN	128	DE	383DBE20	SRAM_V113	256
NFSUG	AGB-BNSE-USA	64	37	05F55502	EEPROM_V124	4
TMNT GBA	AGB-BNTE-USA	64	06	F6C36783	EEPROM_V122	4
TMNT GBA	AGB-BNTP-EUR	64	7B	8BE170C4	EEPROM_V122	4
NICKTOONSUNI	AGB-BNUE-USA	32	14	75C35F7C		
SBSPUNITE	AGB-BNUP-EUR	32	F0	611CC620		
NICKTOONSBVI	AGB-BNVE-USA	32	1E	FEAFBD72	EEPROM_V124	4
SBSP BFVI	AGB-BNVP-EUR	32	2D	033229A7	EEPROM_V124	4
NFSMW	AGB-BNWE-USA	64	2B	EA15A16E	EEPROM_V124	4
NYANNYANKO01	AGB-BNYJ-JPN	64	29	685E62BA	EEPROM_V124	4
OCHAKENISLAN	AGB-BO2J-JPN	64	46	61E2799A	EEPROM_V124	64
OSYARE PRI3	AGB-BO3J-JPN	64	AF	487C43C0	EEPROM_V122	64
OSYARE PRI5	AGB-BO5J-JPN	64	AB	38AF35C1	EEPROM_V124	4
ONEPIEBASEBA	AGB-BO8K-KOR	64	6B	66928F27	EEPROM_V124	64
OPEN SEASON	AGB-BOAE-USA	64	BA	E6A1D5B2	EEPROM_V124	4
OPEN SEASON	AGB-BOAP-EUR	64	AF	51B0A94B	EEPROM_V124	4
OPEN SEASON	AGB-BOAX-EUU	64	A7	4C8F6FDC	EEPROM_V124	4
BO_BOBO2_GBA	AGB-BOBJ-JPN	64	5E	37938CA4	SRAM_F_V103	256
THE URBZ AGB	AGB-BOCE-USA	256	9B	8B3330BB	FLASH512_V131	512
THE URBZ AGB	AGB-BOCJ-JPN	256	A1	BBCCC2FD	FLASH512_V131	512
MUNCH	AGB-BODD-NOE	64	4E	FCC570A7		
MUNCH	AGB-BODE-USA	64	4D	97367887		
OTTIFANTEN P	AGB-BOFD-NOE	32	36	77A84969		
OJARUGEKKO	AGB-BOJJ-JPN	128	AC	79306ED2	EEPROM_V122	4
BOMBERMANJGC	AGB-BOMJ-JAP	64	59	C6D5132D	EEPROM_V122	4
ONEPIECE	AGB-BONE-USA	64	71	7D2CF2A1	EEPROM_V124	4
OSYARE PRI4	AGB-BOPJ-JPN	64	00	8B0EB948	EEPROM_V124	4
BO_BOBO4_GBA	AGB-BOSJ-JPN	128	4B	166FEECB	SRAM_V113	256
VANDELBUSTER	AGB-BOVJ-JPN	128	1D	1CC42EBC	EEPROM_V124	64
FIGHTBOX	AGB-BOXP-EUR	32	3F	928B4E05	EEPROM_V122	4
OZZY&DRIX	AGB-BOZE-USA	64	EF	D7245280		
PIA33	AGB-BP3J-JPN	64	71	254E6F31	EEPROM_V124	64
PREMIER MANA	AGB-BP4P-EUR	64	69	6A83968A	FLASH512_V131	512
PREMIER MANA	AGB-BP5P-EUR	32	68	3B04673B	FLASH512_V131	512
PAWAPOKE6	AGB-BP6J-JPN	64	21	023A9A75	SRAM_V112	256
PAWAPOKE7	AGB-BP7J-JPN	64	00	073047DF	SRAM_V113	256
PAC PINBALL	AGB-BP8E-USA	32	C5	DA4E1109		
PAC PINBALL	AGB-BP8P-EUR	32	BA	3E70BF4D		
WCPOKER	AGB-BP9E-USA	32	98	07F15152		
WCPOKER	AGB-BP9P-EUR	32	8D	4776F86E		
PAC-MANWORLD	AGB-BPAE-USA	64	4D	B2A4FC78	EEPROM_V124	4
PAC-MANWORLD	AGB-BPAP-EUR	64	48	1F92814E	EEPROM_V124	4
JAGUAR	AGB-BPBJ-JPN	64	04	1F67BD36	SRAM_F_V103	256
MSPAC-MANMM	AGB-BPCE-USA	32	99	DDE5DF02	EEPROM_V124	4
MSPAC-MANMM	AGB-BPCP-EUR	32	94	6E03FD6A	EEPROM_V124	4
PLUSTER RPG2	AGB-BPDJ-JPN	128	4F	3F60BF6A	SRAM_V113	256
POKEMON EMER	AGB-BPED-DEU	128	73	34C9DF89	FLASH1M_V103	1024
POKEMON EMER	AGB-BPEE-USA	128	72	1F1C08FB	FLASH1M_V103	1024
POKEMON EMER	AGB-BPEF-FRA	128	71	A3FDCCB1	FLASH1M_V103	1024
POKEMON EMER	AGB-BPEI-ITA	128	6E	324E9381	FLASH1M_V103	1024
POKEMON EMER	AGB-BPEJ-JPN	128	6D	4881F3F8	FLASH1M_V103	1024
POKEMON EMER	AGB-BPES-SPA	128	64	8C4D3108	FLASH1M_V103	1024
PUYO FEVER	AGB-BPFJ-JPN	64	C2	3FFD621A	EEPROM_V124	4
PUYO POP FEV	AGB-BPFP-EUR	64	44	6E5880ED	EEPROM_V124	4
POKEMON LEAF	AGB-BPGD-NOE	128	82	D12F1FDD	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGE-USA	128	81	1C12FD39	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGE-USA	128	80	DAFFECEC	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGF-NOE	128	80	BA3285E3	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGI-ITA	128	7D	16974506	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGJ-JPN	128	7C	0A48556B	FLASH1M_V103	1024
POKEMON LEAF	AGB-BPGS-SPA	128	73	2CA11D59	FLASH1M_V103	1024
PITFALL	AGB-BPHE-USA	64	BF	5C11DC26	EEPROM_V120	4
PITFALL	AGB-BPHF-NOE	64	BE	846F43F3	EEPROM_V120	4
PITFALL	AGB-BPHP-EUR	64	B4	DC6512D6	EEPROM_V120	4
ITS MR PANTS	AGB-BPIE-USA	32	6D	757A4EFB	EEPROM_V124	64
P PROF 1	AGB-BPJE-USA	32	A4	07B824B1	EEPROM_V124	4
PAYBACK	AGB-BPKP-EUR	64	A8	962DD201	EEPROM_V124	4
AM 3D POOL	AGB-BPLE-USA	8	23	1EFBFA8A		
PREMIER MAN	AGB-BPMP-EUR	32	91	A959F638	FLASH512_V131	512
NA-SU	AGB-BPNJ-JPN	32	41	80A081FE	EEPROM_V124	64
PRDINOTHUNDE	AGB-BPOE-USA	32	28	BC193EE7		
POWER RANGER	AGB-BPOX-EUU	32	3D	414BFE31		
POKEPIN R/S	AGB-BPPE-USA	64	BF	F0854898	SRAM_F_V102	256
POKEPIN R/S	AGB-BPPJ-JPN	64	BA	4FF8493E	SRAM_F_V102	256
POKEPIN R/S	AGB-BPPJ-JPN	64	B9	925A5684	SRAM_F_V102	256
POKEPIN R/S	AGB-BPPP-EUR	128	B4	A53AC14B	SRAM_F_V102	256
PUKU22 CUPID	AGB-BPQJ-JPN	64	74	8AD961E0	EEPROM_V124	64
POKEMON FIRE	AGB-BPRD-NOE	128	69	1A81EEDF	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRE-USA	128	68	DD88761C	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRE-USA	128	67	84EE4776	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRF-NOE	128	67	5DC668F6	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRI-ITA	128	64	73A72167	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRJ-JPN	128	63	3B2056E9	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRJ-JPN	128	62	BB640DF7	FLASH1M_V103	1024
POKEMON FIRE	AGB-BPRS-SPA	128	5A	9F08064E	FLASH1M_V103	1024
CINNAMON A	AGB-BPSJ-JPN	32	B2	8376D53B	EEPROM_V124	4
PETER PAN	AGB-BPTE-USA	32	40	E57EA9FA	EEPROM_V122	64
PETER PAN	AGB-BPTP-EUR	32	35	98C27E8A		
SCOOBYMOVMON	AGB-BPUE-USA	128	0B	1F023DBE	EEPROM_V124	4
SD_MP&MU_FRE	AGB-BPUF-FRA	128	1E	802C9234	EEPROM_V124	4
SD_MP&MU_ENG	AGB-BPUP-EUR	128	17	BFCD892E	EEPROM_V124	4
SD_MP_&MU_SP	AGB-BPUS-SPA	128	EC	D21582D0	EEPROM_V124	4
PFERDEHOFEUR	AGB-BPVP-EUR	256	02	46FAF75E	EEPROM_V124	64
ALEDERMANNEU	AGB-BPVX-EUU	32	3B	1C1846C2	EEPROM_V124	64
MIJNMANEGEDU	AGB-BPVY-EUU	32	01	1F2708D5	EEPROM_V124	64
PRNINJASTORM	AGB-BPWE-USA	32	0D	3B6A3DBA		
PRNINJASTORM	AGB-BPWP-EUR	32	02	09D8ED5E		
POLAREXPRESS	AGB-BPXE-USA	32	0B	62CA5620	EEPROM_V124	4
PRINCEPERSIA	AGB-BPYE-USA	64	37	F2E47FF3	EEPROM_V122	4
PRINCEPERSIA	AGB-BPYP-EUR	64	2C	6EADEB17	EEPROM_V122	4
PAZUNINN	AGB-BPZJ-JPN	32	25	8DAA89C9	EEPROM_V122	4
RAYMAN4	AGB-BQ3E-USA	128	E5	751EF0D2	EEPROM_V124	4
RAYMAN4	AGB-BQ3P-EUR	128	DA	9914DA23	EEPROM_V124	4
SPONGEBOBCKK	AGB-BQ4E-USA	64	5E	51CE91D6	EEPROM_V124	4
SPONGEBOBCKK	AGB-BQ4P-EUR	64	53	7580FBD6	EEPROM_V124	4
MONSTERHOUSE	AGB-BQ7E-USA	64	27	148B5072	EEPROM_V124	4
MONSTERHOUSE	AGB-BQ7P-EUR	64	1C	AA2C1837	EEPROM_V124	4
MONSTERHOUSE	AGB-BQ7X-EUU	64	14	21C84334	EEPROM_V124	4
PIXELINE	AGB-BQ9Q-DEN	64	39	20B72D17	EEPROM_V124	4
DETECTIVE C2	AGB-BQAJ-JPN	64	84	C048B723	EEPROM_V124	64
BATTLEMASTER	AGB-BQBJ-JPN	64	27	3AA0CE79	EEPROM_V124	64
CRASHTITANS	AGB-BQCE-USA	128	77	6F28B009	EEPROM_V124	4
CRASHTITANS	AGB-BQCP-EUR	128	6C	D1D07FA6	EEPROM_V124	4
QUAD DESFURY	AGB-BQDE-USA	32	4C	95BE56E6		
HOTSTCHOTWR	AGB-BQJE-USA	128	64	20929EC1		
KONCYUNOMORI	AGB-BQKJ-JPN	64	F9	88C56D65	EEPROM_V124	4
MARCHPENGUIN	AGB-BQLE-USA	32	4A	5195429F		
MARCHP	AGB-BQLP-EUR	32	E6	F680B0F3		
TWIN SERIES3	AGB-BQMJ-JPN	64	44	68237519	EEPROM_V124	4
PRINCESSTOWN	AGB-BQNE-USA	64	F7	C6AD2251	EEPROM_V124	4
PRINCESSTOWN	AGB-BQNP-EUR	64	EC	92C695CC	EEPROM_V124	4
KIMPOSSIBLE3	AGB-BQPE-USA	64	2F	FDEC60EC	EEPROM_V124	4
SBSPLIGHTS	AGB-BQQE-USA	32	B6	23297579	EEPROM_V124	4
SBSPLIGHTS	AGB-BQQX-EUU	64	A3	5FD58154	EEPROM_V124	4
B STADIUM	AGB-BQSJ-JPN	64	25	5ADB68EF	EEPROM_V124	64
TIERPENSION	AGB-BQTF-FRA	64	6F	6A808027	EEPROM_V124	64
TIERPENSION	AGB-BQTP-EUR	64	32	78AD82FF	EEPROM_V124	64
TIERPENSION	AGB-BQTX-EUU	64	27	310EB2FE	EEPROM_V124	64
TIERPRAXIS	AGB-BQVP-EUR	64	75	13CE32E8	EEPROM_V124	64
TIERPRAXIS	AGB-BQVX-EUU	64	6A	227A5430	EEPROM_V124	64
SS DBL PACK	AGB-BQWE-USA	256	CF	CD12991A		
SUPERMAN R	AGB-BQXE-USA	128	D5	68215047	EEPROM_V124	4
DANNYPHANTOM	AGB-BQYD-NOE	32	21	2D59C1D5	EEPROM_V124	4
DANNYPHANTOM	AGB-BQYE-USA	32	20	C22E7A2F	EEPROM_V124	4
AVATAR	AGB-BQZE-USA	64	F1	946787C0	EEPROM_V124	64
AVATAR	AGB-BQZP-EUR	64	E6	52FE8A62	EEPROM_V124	64
MR DRILLER2	AGB-BR2E-USA	32	92	02F51696	SRAM_F_V103	256
RTYPE III	AGB-BR3E-USA	32	54	EA863F4D		
RTYPE III	AGB-BR3P-EUR	32	2A	41BB7F8A		
ROCKEXE4.5RO	AGB-BR4J-JPN	64	8E	A646601B	SRAM_V113	256
MEGAMAN6_GXX	AGB-BR5E-USA	64	59	79452182	SRAM_V113	256
ROCKEXE6_GXX	AGB-BR5J-JPN	64	39	6285918A	SRAM_V113	256
MEGAMAN6_GXX	AGB-BR5P-EUR	64	4E	25C29EFB	SRAM_V113	256
MEGAMAN6_FXX	AGB-BR6E-USA	64	59	DEE6F2A9	SRAM_V113	256
ROCKEXE6_RXX	AGB-BR6J-JPN	64	2D	2DFB603E	SRAM_V113	256
MEGAMAN6_FXX	AGB-BR6P-EUR	64	4E	13183967	SRAM_V113	256
ROCKEMSOCKEM	AGB-BR7E-USA	32	5C	C8896C62		
ROCKEMSOCKEM	AGB-BR7P-EUR	32	51	6AD6E952		
GHOST RIDER	AGB-BR8E-USA	64	BC	CF190F2E	EEPROM_V124	4
RILAKKUMADAY	AGB-BR9J-JPN	64	3F	88937060	EEPROM_V124	4
RACING GEARS	AGB-BRAE-USA	64	62	BF648E5C	EEPROM_V124	4
RACING GEARS	AGB-BRAP-EUR	64	65	49A88E52	EEPROM_V124	4
MEGAMAN5_TP_	AGB-BRBE-USA	64	41	A73E83A4	SRAM_V113	256
ROCKEXE5_TOB	AGB-BRBJ-JPN	64	3F	C73F23C0	SRAM_V113	256
MEGAMAN5_TP_	AGB-BRBP-EUR	64	36	79F45ED8	SRAM_V113	256
PRANGERS_SPD	AGB-BRDE-USA	32	1D	921B66E2		
PRANGERS_SPD	AGB-BRDX-EUU	32	0A	CB59CF7D		
PRANGERS_SPD	AGB-BRDY-EUU	32	09	DCA64F27		
RIVIERA	AGB-BREE-USA	256	9A	4FB6958D	SRAM_F_V103	256
RIVIERA	AGB-BREJ-JPN	128	87	F73B840F	SRAM_F_V103	256
RAPALA PRO F	AGB-BRFE-USA	32	A3	964D39A7	EEPROM_V124	4
YUYUHAKUSHO2	AGB-BRGE-USA	64	29	AEF6B7CC	EEPROM_V124	64
MTR	AGB-BRHE-USA	64	B8	3787C93C	EEPROM_V124	4
MTR	AGB-BRHP-EUR	64	AD	DF3E58D3	EEPROM_V124	4
RHYTHMTENGOK	AGB-BRIJ-JPN	128	25	349D7025	SRAM_F_V110	256
RHYTHMTENGOK	AGB-BRIJ-JPN	128	24	A6CD88E1	SRAM_F_V110	256
MEGAMAN5_TC_	AGB-BRKE-USA	64	45	A552F683	SRAM_V113	256
ROCKEXE5_TOC	AGB-BRKJ-JPN	64	35	16842635	SRAM_V113	256
MEGAMAN5_TC_	AGB-BRKP-EUR	64	3A	8FC8CF73	SRAM_V113	256
REBELSTAR	AGB-BRLE-USA	32	01	FB6C590F	EEPROM_V124	64
REBELSTAR	AGB-BRLP-EUR	32	16	E448C5D4	EEPROM_V124	64
RAVE MASTER	AGB-BRME-USA	64	9C	C39B9418	SRAM_V113	256
LICCA OSHARE	AGB-BRNJ-JPN	64	75	E9F62FE0	SRAM_V113	256
POSTMAN PAT	AGB-BROP-EUR	32	66	566CF164		
LILLIPUT	AGB-BRPJ-JPN	64	2C	1AFAB451	EEPROM_V124	64
MAJESCOS3IN1	AGB-BRQE-USA	32	5B	AAFC9AFA		
3IN1 RECROOM	AGB-BRQP-EUR	32	7B	4FBC3F62		
BRATZ ROCK A	AGB-BRRD-NOE	64	85	649588CB	EEPROM_V124	4
BRATZ ROCK A	AGB-BRRE-USA	64	84	AA245D0C	EEPROM_V124	4
BRATZ ROCK A	AGB-BRRF-FRA	64	83	8FC8D6D2	EEPROM_V124	4
BRATZ ROCK A	AGB-BRRS-ESP	64	76	CFFF9119	EEPROM_V124	4
SS_&_RGW_FRE	AGB-BRSF-FRA	64	FF	B3BB9A45		
SBSS_&RGW_EN	AGB-BRSP-EUR	64	09	E5AC73BB		
ROBOTS	AGB-BRTE-USA	128	D0	5370AE1F	EEPROM_V124	4
ROBOTS	AGB-BRTJ-JPN	256	0B	4611AF22	EEPROM_V124	4
ROBOTS	AGB-BRTP-EUR	128	C5	2ACBDB64	EEPROM_V124	4
THATSSORAVEN	AGB-BRVE-USA	64	FB	8E190698	EEPROM_V124	4
RACING FEVER	AGB-BRWP-EUR	32	31	E40EC737		
VATTROLLERX1	AGB-BRXJ-JPN	64	0F	E368A67A	SRAM_F_V103	256
HOODLUMS REV	AGB-BRYE-USA	64	42	025A9998	EEPROM_V124	4
HOODLUMS REV	AGB-BRYP-EUR	64	37	C221C419	EEPROM_V124	4
PR_TF&NS_GER	AGB-BRZD-NOE	128	11	A5E872D7		
PRNINJA&TF	AGB-BRZE-USA	128	DD	994E7629		
PRNS&TFFRE	AGB-BRZF-FRA	128	CE	14AA2642		
PRNS&TFFRE	AGB-BRZP-EUR	128	CE	1B6956D0		
03:IP@2960	AGB-BS3J-JPN	32	78	49B92627	EEPROM_V124	4
04:TP@2960	AGB-BS4J-JPN	32	2B	F949585E	EEPROM_V124	4
SYLVANIA5	AGB-BS5J-JPN	64	27	326B320F	EEPROM_V122	64
BYSK8NG2006	AGB-BS6E-USA	32	0C	4EB19B87	EEPROM_V124	4
SHREK SHARK	AGB-BS7E-USA	128	C3	5CB036C7	EEPROM_V124	4
SHREK SHARK	AGB-BS7P-EUR	128	B8	1802C624		
SPYRO ORANGE	AGB-BS8J-JPN	128	46	91A9E2CC	EEPROM_V124	4
CHINESE1&2	AGB-BSAJ-JPN	32	26	35448DF4	EEPROM_V124	4
SONICBATTLE	AGB-BSBE-USA	128	8E	9EC9D86F	FLASH512_V131	512
SONICBATTLE	AGB-BSBJ-JPN	128	70	7305AC30	FLASH512_V131	512
SONIC BATTLE	AGB-BSBP-EUR	128	4A	D0F65125	FLASH512_V131	512
SITTING DUCK	AGB-BSDE-USA	32	38	8BC90ADB		
SITTING DUCK	AGB-BSDP-EUR	32	30	FB5ED870		
SHREK 2	AGB-BSEE-USA	64	FC	52FF42D4	EEPROM_V124	4
SHREK 2	AGB-BSEX-EUU	64	E9	AC1D8C97	EEPROM_V124	4
SYLVANIA6	AGB-BSFJ-JPN	64	15	58DC532E	EEPROM_V124	64
SYOGI	AGB-BSGJ-JPN	32	1A	08B62391	EEPROM_V124	4
MSS SHANGHAI	AGB-BSHJ-JAP	32	4E	13A48569	EEPROM_V122	4
SHREK 2.1	AGB-BSIE-USA	64	99	F1861610	EEPROM_V124	4
SHREK 2.1	AGB-BSIX-EUU	64	86	B6E091CE	EEPROM_V124	4
SWORDCRAFT2	AGB-BSKE-USA	128	74	1EAC1F48	EEPROM_V124	64
CRAFTSWORD2	AGB-BSKJ-JPN	128	79	8CD98F6F	EEPROM_V124	64
TOM CLANCY'S	AGB-BSLE-USA	64	82	AEFB7B54	EEPROM_V124	4
PANDORATOMOR	AGB-BSLP-EUR	64	25	F007DFE1	EEPROM_V124	4
METAL SLUG	AGB-BSME-USA	64	E3	09980880	EEPROM_V124	4
AGB-P-BSMJ	AGB-BSMJ-JPN	64	09	0CABA589	EEPROM_V124	4
AGB-BSMP	AGB-BSMP-EUR	64	6A	3806F4AE	EEPROM_V124	4
SBSPMOVIE	AGB-BSNE-USA	64	02	E1068687		
SBSPMOVIE	AGB-BSNX-EUU	64	EF	C3C1D2B7		
SHAMAN KING	AGB-BSOE-USA	128	B2	10E554AE	SRAM_V113	256
SHAMAN KING	AGB-BSOP-EUR	128	A7	4864B878	SRAM_V113	256
SPIDER-MAN2	AGB-BSPE-USA	128	BE	0145F3F4	EEPROM_V124	4
SPIDER-MAN 2	AGB-BSPI-ITA	128	9A	66340F23	EEPROM_V124	4
SPIDER-MAN2	AGB-BSPX-EUU	128	AB	821838BC	EEPROM_V124	4
SBSPBATTLEBB	AGB-BSQE-USA	64	3F	A3674E7E		
SBSPBATTLEBB	AGB-BSQP-EUR	64	34	DE4A85C0		
WADE HIXTONS	AGB-BSRE-USA	64	55	47B49060	EEPROM_V122	4
SPY MUPPETS	AGB-BSSE-USA	64	51	848F9D42		
SPYRO ORANGE	AGB-BSTE-USA	128	2F	A9915BAF	EEPROM_V124	4
SPYRO ORANGE	AGB-BSTP-EUR	128	24	331B8286	EEPROM_V124	4
SHARK TALE	AGB-BSUE-USA	64	FC	7B68D93E	EEPROM_V124	4
SHARK STORY	AGB-BSUI-ITA	64	7D	804A01B1	EEPROM_V124	4
